address,city,zip_code,sale_price,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,sale_date
412 15th Ave E,Seattle,98112,875000,3,2,1820,4200,1928,2024-01-08
2341 Boyer Ave E,Seattle,98112,1125000,4,2,2340,5100,1924,2024-01-15
5612 Phinney Ave N,seattle,98103,965000,3,1,1650,4000,1935,2024-01-22
3201 NW 65th St,Seattle,98117,820000,3,2,1740,5800,1942,2024-02-03
1847 NW 58th Street,Seattle,98107,780000,2,1,1420,3600,1948,2024-02-11
721 N 83rd St,Seattle,98103,695000,2,1,1100,3200,1952,2024-02-19
1406 E Pine St,Seattle,98122,1050000,2,2,1380,1800,1907,2024-02-27
324 Harvard Ave E,SEATTLE,98102,1340000,4,3,2710,4400,1919,2024-03-05
1212 Minor Ave,Seattle,98101,580000,1,1,720,0,2005,2024-03-12
800 Columbia Street,Seattle,98104,645000,2,1,880,0,2010,2024-03-19
4523 46th Ave SW,Seattle,98116,875000,3,2,1920,5400,1950,2024-03-26
3812 California Ave SW,Seattle,98116,720000,3,1,1560,4200,1944,2024-04-02
2156 Beacon Ave S,Seattle,98108,615000,3,1,1440,5000,1938,2024-04-09
907 S Othello St,seattle,98118,540000,3,2,1680,6200,1956,2024-04-16
1534 S Oregon St,Seattle,98108,495000,2,1,1100,4000,1943,2024-04-23
11832 NE 12th St,Bellevue,98005,1425000,4,3,2890,8400,1998,2024-04-30
3041 Bellevue Way NE,BELLEVUE,98004,1875000,5,3,3640,9200,2002,2024-05-07
1620 108th Ave NE,Bellevue,98004,2150000,5,4,4120,11000,2008,2024-05-14
14523 SE 47th Pl,Bellevue,98006,980000,4,2,2340,7800,1985,2024-05-21
5812 129th Ave SE,bellevue,98006,875000,3,2,1980,6400,1979,2024-05-28
8934 NE 134th St,Kirkland,98034,765000,3,2,1820,6000,1974,2024-06-04
12043 100th Ave NE,Kirkland,98033,895000,4,2,2180,7200,1989,2024-06-11
423 4th Ave S,Kirkland,98033,1120000,4,3,2540,5600,2001,2024-06-18
16234 Juanita Dr NE,Kenmore,98028,685000,3,2,1740,9400,1968,2024-06-25
8521 NE 145th St,Kenmore,98028,610000,3,1,1520,8000,1961,2024-07-02
15812 Redmond Way,Redmond,98052,990000,4,3,2420,7600,1996,2024-07-09
9034 165th Ave NE,REDMOND,98052,875000,3,2,2010,6800,1988,2024-07-16
17234 NE 85th St,Redmond,98052,1080000,4,2,2280,8200,2000,2024-07-23
6523 148th Ave NE,Redmond,98052,755000,3,2,1760,6400,1982,2024-07-30
22413 SE 4th St,Sammamish,98074,1250000,4,3,2980,9800,2004,2024-08-06
3412 228th Ave SE,Sammamish,98075,1380000,5,3,3340,12000,2007,2024-08-13
19234 SE 8th St,sammamish,98074,1120000,4,2,2560,8600,1999,2024-08-20
25312 SE Mirrormont Way,Issaquah,98027,865000,4,2,2180,14400,1993,2024-08-27
751 Front Street S,Issaquah,98027,945000,3,2,2040,7800,2002,2024-09-03
1234 NW Maple St,Issaquah,98027,785000,3,2,1880,8200,1997,2024-09-10
12834 84th Ave S,Seattle,98178,498000,3,2,1560,6400,1965,2024-09-17
4021 S Ryan St,Seattle,98178,465000,3,1,1320,5800,1958,2024-09-24
8723 Myers Way S,Seattle,98106,520000,3,1,1440,5200,1953,2024-10-01
2312 SW Holden St,Seattle,98106,545000,3,2,1680,5600,1960,2024-10-08
7412 Denver Ave S,Seattle,98108,475000,2,1,1240,4800,1952,2024-10-15
19834 1st Ave S,Normandy Park,98148,780000,4,2,2120,9600,1978,2024-10-22
23145 Marine View Dr S,Des Moines,98198,695000,3,2,1840,8400,1972,2024-10-29
1412 S 272nd St,Federal Way,98003,425000,3,2,1620,7200,1980,2024-11-05
3234 SW 336th St,Federal Way,98023,398000,3,1,1480,6800,1975,2024-11-12
14523 SE 240th St,Kent,98042,510000,3,2,1720,7400,1983,2024-11-19
202 Railroad Ave S,KENT,98032,480000,3,1,1560,5200,1968,2024-11-26
8934 S 192nd St,Kent,98031,445000,2,2,1380,5600,1977,2024-12-03
1523 SW 43rd St,Renton,98057,565000,3,2,1780,6400,1972,2024-12-10
4312 NE 4th St,renton,98059,645000,4,2,2020,8000,1991,2024-12-17
16234 116th Ave SE,Renton,98058,585000,3,2,1860,7200,1985,2024-12-24
